source_id,file_name,file_type,title_hint,file_size_bytes,sha256,extraction_datetime_utc,page_count,language_detected,title_extracted,isbn_values,doi_values,asin_values,notes
SRC001,Aal-e-Zahra S.A - 1.2 - Research Publication - Published Version.pdf,pdf,Aal-e-Zahra S.A - Research Publication - Published Version,60852295,d0064fe65d5d8e2f159ce2895925da2de8b45201f27aaef73fb110232a54254b,2026-06-05T06:38:55Z,179,en,[[PAGE 1]],9798258707406,10.5281/zenodo.20070090; https://doi.org/10.5281/zenodo.20070090; https://doi.org/10.5281/zenodo.20199191,B0H1XB43R2; B0H22C5FH7,
SRC002,1035201682-Research-Publication-of-Family-of-Saadat-Naqvi.pdf,pdf,Family of Saadat Naqvi,1661364,9891c06e99f5a46bd1a2bfbd563b9d4464e0b6621de2b7a18691c68d8f619ac9,2026-06-05T06:38:57Z,118,en,[[PAGE 1]],9798195665623,https://doi.org/10.5281/zenodo.20070090,B0H15D6T4G; B0H15RF861,
SRC003,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّح.txt,txt,Gulzar-e-Jalaliya Urdu text / بسم الله الرحمن الرحیم,687236,76a2569fcbb751d68984edd098d7b84e6df47f7ceab2c651c77df283a710e1ce,2026-06-05T06:38:57Z,1,ur/ar,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ تمام تعریفیں اللہ ہی کے لیے ہیں جو تمام جہانوں کا رب ہے اللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ وَآلِ مُحَمَّدٍ، كَمَا صَلَّيْتَ عَلٰى إِبْرَاهِيمَ وَآلِ إِبْرَاهِيمَ، إِنَّكَ حَمِيدٌ مَجِيدٌ اللّٰهُمَّ بَارِكْ عَلٰى ,,,,
