edge_id,parent_entity_id,parent_entity_key,parent_name,child_entity_id,child_entity_key,child_name,relationship_type,certainty,source_id,page_number,line_number,source_ref,evidence_text,extraction_rule,wikidata_property_suggestion,privacy_review_required
EDGE_C4F87C4916,ENT_5FACBC2357,abu talib,Abu Talib,ENT_AAAF97554C,imam ali,Imam Ali,father_of,high,SRC002,104,15,SRC002 p.104 line 15,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat),descendants_heading_child_bin_father,P22,no
EDGE_B5BD8FFC7A,ENT_AAAF97554C,imam ali,Imam Ali,ENT_B49B0B7881,hasan,Hasan,father_of,medium_high,SRC002,104,18,SRC002 p.104 line 18,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.1: Hasan (A.S),descendant_child_under_current_heading,P22,no
EDGE_908770965B,ENT_AAAF97554C,imam ali,Imam Ali,ENT_919A801DF3,husayn,Hussain,father_of,medium_high,SRC002,104,20,SRC002 p.104 line 20,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.2: Hussain (A.S),descendant_child_under_current_heading,P22,no
EDGE_A88FDEB7E5,ENT_AAAF97554C,imam ali,Imam Ali,ENT_60120C5B2B,muhsin,Muhsin,father_of,medium_high,SRC002,104,22,SRC002 p.104 line 22,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.3: Muhsin (A.S),descendant_child_under_current_heading,P22,no
EDGE_AAD93872DA,ENT_AAAF97554C,imam ali,Imam Ali,ENT_40BD3D98A9,muhammad ibn al hanafiyyah,Muhammad ibn al-Hanafiyyah,father_of,medium_high,SRC002,104,24,SRC002 p.104 line 24,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.4: Muhammad ibn al-Hanafiyyah,descendant_child_under_current_heading,P22,no
EDGE_6E0A75B6CB,ENT_AAAF97554C,imam ali,Imam Ali,ENT_592A598416,abbas,Abbas,father_of,medium_high,SRC002,104,26,SRC002 p.104 line 26,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.5: Abbas,descendant_child_under_current_heading,P22,no
EDGE_71217BE0F2,ENT_AAAF97554C,imam ali,Imam Ali,ENT_F2D3F09150,abdullah,Abdullah,father_of,medium_high,SRC002,104,28,SRC002 p.104 line 28,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.6: Abdullah,descendant_child_under_current_heading,P22,no
EDGE_ED7C0AC19E,ENT_AAAF97554C,imam ali,Imam Ali,ENT_33B38EBE53,ja far,Ja‘far,father_of,medium_high,SRC002,104,30,SRC002 p.104 line 30,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.7: Ja‘far,descendant_child_under_current_heading,P22,no
EDGE_458203E413,ENT_AAAF97554C,imam ali,Imam Ali,ENT_0F4E0BBB6C,uthman,Uthman,father_of,medium_high,SRC002,104,32,SRC002 p.104 line 32,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.8: Uthman,descendant_child_under_current_heading,P22,no
EDGE_EC08B3B2B7,ENT_AAAF97554C,imam ali,Imam Ali,ENT_885C14C883,umar,Umar,father_of,medium_high,SRC002,104,34,SRC002 p.104 line 34,Descendants of Imam Ali (A.S) bin Abu Talib bin Abdul Muttalib (Forefather of Gher Fatimi Alavis & Fatimis Sadaat) | child entry 80.9: Umar,descendant_child_under_current_heading,P22,no
EDGE_F07DD76C3C,ENT_AAAF97554C,imam ali,Imam Ali,ENT_D0F5F6FFD4,imam husayn,Imam Hussain,father_of,high,SRC002,104,44,SRC002 p.104 line 44,Descendants of Imam Hussain (A.S) bin Imam Ali (A.S) bin Abu Talib,descendants_heading_child_bin_father,P22,no
